profileID,respID,qID,altID,obsID,price,weight,poweroutput,charge_cycles_per_day,technology,image
3,1,1,1,1,30,182,10,1,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
28,1,1,2,1,50,182,10,3,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
48,1,2,1,2,50,182,80,3,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
24,1,2,2,2,50,182,80,1,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
40,1,3,1,3,50,182,80,1,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
52,1,3,2,3,50,182,10,1,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
9,1,4,1,4,30,70,10,3,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
19,1,4,2,4,30,182,10,1,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
11,1,5,1,5,30,182,10,3,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
26,1,5,2,5,50,70,10,3,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
7,1,6,1,6,30,182,80,1,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
19,1,6,2,6,30,182,10,1,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
7,1,7,1,7,30,182,80,1,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
32,1,7,2,7,50,182,80,3,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
4,1,8,1,8,50,182,10,1,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
22,1,8,2,8,50,70,80,1,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
8,2,1,1,9,50,182,80,1,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
31,2,1,2,9,30,182,80,3,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
